Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,December,4 Western, Greater Geelong,19875,7189.46919109
2022,December,4 Western, Hepburn,620,3742.379428985
2022,December,4 Western, Hindmarsh,265,4732.988033577
2022,December,4 Western, Horsham,2386,11732.310566947
2022,December,4 Western, Loddon,457,5898.296334538
2022,December,4 Western, Macedon Ranges,2027,3884.704574637
2022,December,4 Western, Mildura,7369,12879.264541387
2022,December,4 Western, Moorabool,2025,5258.920687685
2022,December,4 Western, Mount Alexander,923,4542.993552198
2022,December,4 Western, Moyne,659,3772.180881511
2022,December,4 Western, Northern Grampians,983,8277.894736842
2022,December,4 Western, Pyrenees,372,4862.109528166
2022,December,4 Western, Queenscliffe,109,3385.093167702
2022,December,4 Western, Southern Grampians,1257,7667.90703349
2022,December,4 Western, Surf Coast,1075,2781.227362103
2022,December,4 Western, Swan Hill,2074,9771.495877503
2022,December,4 Western, Warrnambool,2933,8248.263449478
2022,December,4 Western, West Wimmera,117,2968.03652968
2022,December,4 Western, Yarriambiack,452,7024.087024087
2022,December,4 Western,Total,78828,7437.101919091
2022,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,2050,
2022,December,Justice Institutions and Immigration Facilities,Total,2050,
2022,December,Unincorporated Vic, Unincorporated Vic,107,
2022,December,Unincorporated Vic,Total,107,
2021,December,1 North West Metro, Banyule,7351,5771.374735024
2021,December,1 North West Metro, Brimbank,16994,8642.584333091
2021,December,1 North West Metro, Darebin,12641,8410.736147336
2021,December,1 North West Metro, Hobsons Bay,5832,6320.786413344
2021,December,1 North West Metro, Hume,17888,7244.451644257
2021,December,1 North West Metro, Maribyrnong,8622,9980.899461712
2021,December,1 North West Metro, Melbourne,33627,21962.641238325
2021,December,1 North West Metro, Melton,12101,6672.879467978
2021,December,1 North West Metro, Merri-bek,11638,6707.780979827
2021,December,1 North West Metro, Moonee Valley,7888,6415.616104107
2021,December,1 North West Metro, Nillumbik,2202,3470.449172577
2021,December,1 North West Metro, Whittlesea,13143,5669.215937472
2021,December,1 North West Metro, Wyndham,15918,5371.858991233
2021,December,1 North West Metro, Yarra,12150,13275.641656013
2021,December,1 North West Metro,Total,177995,8039.887998504
2021,December,2 Eastern, Alpine,553,4200.212668996
2021,December,2 Eastern, Bass Coast,3144,7729.563614014
2021,December,2 Eastern, Baw Baw,4432,7692.040681731
2021,December,2 Eastern, Benalla,1423,9857.301191466
2021,December,2 Eastern, Boroondara,7448,4386.62104141
2021,December,2 Eastern, East Gippsland,4920,10149.142892506
2021,December,2 Eastern, Greater Shepparton,9102,13282.549689169
